5047_W279_T2_20210930_08_11_41_934_312.48kg_2.9type_Clipped.pcd,1010.01,590.01,428.82,347.30,583.17,157688.86,1550.59,356.09,386.87,609.96,636.59,174647.84,200721.04,1593.73,1680.35,389.00,388.82,627.56,627.14,203532.92,205130.33,1674.88,1679.32,381.42,389.14,599.53,615.12,183276.94,197424.94,1615.78,1652.98,427.77,374.27,589.44,182470.69,1618.61,391.69,21.68,425.70,346.13,614.08,13.87,636.91,591.35,0.61,0.02,0.64,0.58,193029.13,14597.58,206200.45,161414.61,1646.92,43.91,1691.25,1554.08,279, 2
5047_W279_T2_20210930_08_11_41_934_312.48kg_2.9type_Clipped_c3.pcd,1020.01,570.01,429.66,345.56,568.92,157667.54,1538.24,351.67,387.51,601.94,638.39,170427.97,201151.99,1583.78,1675.48,389.28,389.11,630.52,631.69,203742.55,205449.16,1676.72,1685.14,382.20,389.77,603.40,622.48,184039.79,198519.22,1633.41,1663.94,428.44,376.20,592.23,180930.61,1637.97,391.93,22.24,425.66,345.06,610.01,41.34,707.60,512.66,0.64,0.05,0.78,0.59,197035.82,16386.41,236805.44,162201.11,1634.72,93.21,1810.83,1384.87,279, 2
5047_W279_T2_20210930_08_11_42_021_332.50kg_3.4type_Clipped.pcd,1000.01,600.01,414.94,334.64,585.76,150295.53,1608.01,355.68,397.81,598.99,644.57,168371.74,207000.10,1612.94,1690.23,398.61,398.72,641.31,644.76,211007.08,212460.05,1700.15,1716.99,385.86,392.64,615.66,632.30,190051.20,200811.81,1652.90,1687.68,434.64,378.61,596.57,183035.33,1608.10,392.14,21.69,432.85,334.99,621.28,19.56,644.83,587.79,0.61,0.02,0.63,0.57,196698.15,18676.25,213914.70,155317.53,1674.04,38.69,1725.96,1605.41,279, 2
5047_W279_T2_20210930_08_11_42_021_332.50kg_3.4type_Clipped_c1.pcd,1060.01,620.01,414.69,335.52,578.10,149200.66,1652.81,345.12,384.91,578.51,622.21,156278.24,194038.80,1620.27,1639.26,397.76,399.15,633.27,633.85,209368.86,211830.57,1692.47,1694.67,386.59,396.96,619.85,633.60,190373.90,208208.79,1652.44,1703.16,434.90,379.54,599.02,181757.32,1625.83,392.58,21.48,432.01,337.65,616.72,20.63,635.05,573.96,0.62,0.01,0.63,0.59,196308.72,19896.60,212325.77,153151.35,1668.97,40.67,1706.51,1593.93,279, 2
5047_W279_T2_20210930_08_11_42_177_298.78kg_2.1type_Clipped.pcd,1020.01,640.01,406.36,306.58,559.28,135155.08,1516.29,324.45,405.38,582.72,637.49,150414.68,204849.39,1542.80,1691.76,411.60,411.16,632.92,633.27,213994.39,218826.20,1706.24,1715.81,390.30,397.48,624.53,627.72,196208.23,204525.85,1651.74,1674.54,430.07,376.49,601.91,177739.57,1611.73,387.55,29.32,426.98,308.26,614.49,20.79,636.63,573.03,0.62,0.04,0.66,0.54,195335.49,25733.55,219960.10,140613.54,1653.64,64.07,1711.91,1536.81,279, 2
5047_W279_T2_20210930_08_11_42_177_298.78kg_2.1type_Clipped_c1.pcd,1050.01,650.01,405.97,311.19,560.48,134174.72,1490.43,317.24,403.65,582.18,632.62,144546.92,201992.99,1541.80,1688.71,410.82,413.47,630.36,631.92,212130.53,219033.90,1704.95,1723.53,392.24,399.36,615.31,622.62,196966.35,205651.75,1641.09,1668.85,429.25,377.11,598.12,177588.88,1591.13,389.05,29.00,425.73,309.64,610.88,21.34,634.53,569.93,0.63,0.04,0.66,0.54,194456.58,26589.60,219017.25,138831.34,1650.23,70.07,1720.88,1529.92,279, 2
5047_W279_T2_20210930_08_11_42_177_298.78kg_2.1type_Clipped_c2.pcd,1030.01,640.01,406.34,308.23,562.97,136887.14,1512.85,318.31,406.24,571.58,636.87,144060.31,205525.06,1510.49,1694.73,410.11,411.16,632.16,631.39,212759.04,218744.64,1703.11,1714.07,391.53,396.73,611.16,618.09,195559.80,202614.50,1651.80,1667.60,429.32,375.95,599.39,176695.68,1616.13,387.51,28.80,425.50,308.71,610.50,22.76,637.16,565.72,0.63,0.03,0.66,0.55,195161.09,25609.84,220030.61,141001.14,1652.04,71.04,1723.52,1509.83,279, 2
5382_W295_T3_20210930_08_15_24_846_243.27kg_2.4type_Clipped_c1.pcd,1000.01,490.00,436.07,336.59,546.92,148223.58,1457.49,335.47,342.91,566.39,618.47,154926.35,177487.23,1509.87,1606.60,348.80,351.29,640.69,650.92,188440.77,193483.13,1664.40,1693.10,351.66,348.73,621.69,644.45,180267.67,190248.69,1631.62,1677.68,421.33,344.28,611.91,179605.52,1617.70,375.38,34.77,432.02,331.51,617.27,31.11,645.96,555.56,0.56,0.02,0.60,0.54,180676.15,14473.87,194492.27,152326.58,1628.83,69.06,1699.12,1501.28,295, 3
5382_W295_T3_20210930_08_15_24_846_243.27kg_2.4type_Clipped_c3.pcd,1030.01,550.01,435.44,337.59,541.77,147684.03,1468.48,335.77,343.70,569.41,615.72,154828.65,177739.15,1513.37,1605.74,348.86,350.60,637.95,650.57,187530.48,193091.21,1657.56,1690.01,356.59,347.05,617.67,627.53,181501.88,184734.76,1630.12,1639.54,421.46,353.78,592.05,177569.04,1610.29,375.61,35.34,431.19,331.51,614.63,27.64,643.56,556.67,0.56,0.02,0.60,0.54,179759.79,13180.34,193633.17,152044.04,1619.88,60.76,1694.61,1503.49,295, 3
5382_W295_T3_20210930_08_15_24_911_278.50kg_2.9type_Clipped_c1.pcd,1040.01,590.01,427.54,333.66,542.28,145911.61,1492.52,345.84,339.89,553.83,609.13,147068.62,175834.11,1524.73,1588.31,343.26,345.92,632.06,649.78,185389.36,192297.23,1643.66,1683.38,350.20,344.98,622.05,634.12,182391.14,188354.64,1625.05,1671.30,437.02,371.43,572.45,177409.67,1590.78,378.04,38.04,434.09,332.19,612.58,30.05,646.86,548.60,0.56,0.02,0.60,0.53,179842.70,13782.77,193336.29,149331.62,1622.25,64.43,1690.43,1502.65,295, 3
