0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
2022_08_10_170633_763_123125.pcd,1020.01,602.21,635.94,438132.26,769.29,911.33,565222.23,2687.2,663.93,924.73,465097.64,2559.45,647.84,678.21,790.26,874.44,939.73,0.8,0.87,501625.25,585912.99,2566.53,2729.34,2
2022_11_17_170639_695_9085.scd,880.01,594.5,621.29,408689.66,726.49,896.58,502390.97,2574.62,628.94,900.84,447969.11,2478.96,634.41,643.22,742.53,866.89,919.13,0.78,0.85,467413.13,521007.96,2498.35,2621.94,2
2022_11_17_175058_764.2_3455.scd,1010.01,587.79,626.68,433341.88,809.76,906.53,577335.86,2738.09,693.28,907.37,503198.81,2665.37,680.63,698.66,826.76,882.48,935.37,0.83,0.9,523181.3,601833.72,2626.91,2793.17,2
2022_11_17_081551_790_1523.scd,820.01,637.77,652.65,435535.66,859.58,881.39,596104.89,2776.74,675.33,892.6,480722.71,2526.96,682.78,714.08,878.96,858.91,893.2,0.9,0.99,545180.39,619368.18,2585.86,2827.53,3
2022_08_11_103752_770_7457.pcd,960.01,652.01,667.78,493877.62,796.43,875.95,554693.13,2654.1,642.86,887.37,442500.49,2465.14,682.06,693.26,809.64,870.05,917.02,0.82,0.93,504718.44,569966.68,2558.58,2695.27,2
2022_11_17_080004_852_7457.scd,1030.01,647.49,692.63,479018.51,862.57,888.67,604708.45,2787.2,690.78,927.31,490754.85,2599,719.5,736.82,866.13,870.47,898.74,0.88,0.98,546133.4,619584.08,2662.14,2816.07,3
2022_08_11_103755_770_7457.pcd,1260.01,651.26,649.04,426297.64,796.53,926.85,585654.81,2750.77,614.78,828.36,412209.04,2321.99,620.13,700.84,816.2,909.95,965.2,0.77,0.88,519110.61,606997.84,2644.79,2792.04,2
2022_11_17_170456_695_9085.scd,870.01,601.88,605.22,439214.45,727.42,887.89,504285.98,2563.45,644.01,891.93,433873.5,2410.64,623.17,642.33,736.03,904.16,1050.21,0.74,0.84,471590.85,517835.47,2541.24,2734.18,2
2022_11_17_074133_750_5491.scd,930.01,603.53,616.74,407549.59,791.83,943.34,584799.51,2745.65,656.67,920.77,487093.7,2618.75,762.31,691.36,801.94,919.07,1026.39,0.78,0.85,524979.37,606607.24,2667.3,3017.21,2
2022_11_17_174918_764.2_3455.scd,800.01,633.16,659.33,480145.74,794.49,935.81,588141.98,2740.8,671.1,949.16,505874.42,2644.06,670.83,695.26,805.07,909.69,951,0.82,0.87,553900.78,607684.95,2671.14,2777.14,2
2022_11_17_074303_750_3891.scd,1100.01,612.58,639.22,436400.65,793.85,911.31,574593.54,2708.54,640.54,955.71,480826.75,2588.05,603.05,671.93,815.84,878.47,930.76,0.8,0.88,502920.73,602019.93,2560.21,2759.44,2
2022_11_17_170821_748_3891.scd,1040.01,616.96,637.95,446171.18,819.13,921.79,591258.55,2753.22,647.87,916.42,463250.23,2544.74,651.9,690.48,835.07,880.91,938.62,0.82,0.89,522660.06,612774.99,2608.98,2798.89,2
2022_08_11_104920_650_3741.pcd,770.01,620.25,633.66,430498.23,711.66,879.28,498235.8,2555.77,622.01,889.72,454576.38,2535.07,612.31,646.3,727.87,850.1,903.78,0.79,0.81,470233.36,518237.42,2493.12,2611.09,2
2022_08_10_170636_763_123125.pcd,880.01,630.74,642.07,419466.14,775.27,873.71,544523.7,2632.21,641.03,865.05,437609.84,2440.56,677.64,683.63,793.45,849.49,900.43,0.83,0.89,499733.65,572162.9,2537.89,2707.17,2
